                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.60179,                0.58359,                0.83174,                0.99584,                      1,                  0.995,                 0.8215,                0.79547,                0.51684,                 1.0086,              0.0007031,              0.0007031,              0.0007031
                    134,                0.57966,                0.51533,                0.85812,                0.99589,                      1,                  0.995,                0.82474,                0.79223,                0.51406,                 1.0102,              0.0006932,              0.0006932,              0.0006932
                    135,                 0.5369,                0.52607,                0.87054,                0.99616,                      1,                  0.995,                 0.8168,                0.78089,                0.52417,                0.99528,              0.0006833,              0.0006833,              0.0006833
                    136,                 0.5588,                0.54016,                0.84752,                0.99636,                      1,                  0.995,                0.82585,                0.80419,                0.52003,                0.99067,              0.0006734,              0.0006734,              0.0006734
                    137,                0.56298,                0.48714,                0.86476,                0.99635,                      1,                  0.995,                0.81069,                 0.8241,                0.53052,                0.98988,              0.0006635,              0.0006635,              0.0006635
                    138,                0.60148,                 0.5593,                0.88198,                0.99621,                      1,                  0.995,                0.78025,                 0.8427,                0.53902,                0.99429,              0.0006536,              0.0006536,              0.0006536
                    139,                0.60256,                0.55208,                0.86573,                0.99607,                      1,                  0.995,                0.79033,                0.86184,                0.53767,                 1.0119,              0.0006437,              0.0006437,              0.0006437
                    140,                0.66579,                0.62935,                0.88665,                0.99601,                      1,                  0.995,                0.79203,                0.85703,                0.52725,                 1.0257,              0.0006338,              0.0006338,              0.0006338
                    141,                0.65821,                0.53813,                0.91003,                0.99603,                      1,                  0.995,                0.80233,                0.83946,                0.52711,                 1.0215,              0.0006239,              0.0006239,              0.0006239
                    142,                0.55582,                0.51729,                0.84925,                0.99629,                      1,                  0.995,                 0.8069,                0.81547,                0.50017,                  1.005,               0.000614,               0.000614,               0.000614
                    143,                0.60464,                0.52945,                0.84517,                0.99661,                      1,                  0.995,                0.80931,                0.78847,                 0.4837,                0.98526,              0.0006041,              0.0006041,              0.0006041
                    144,                0.60057,                0.52109,                0.86645,                0.99671,                      1,                  0.995,                0.80634,                0.77185,                0.47442,                0.97704,              0.0005942,              0.0005942,              0.0005942
                    145,                0.55879,                0.50714,                0.85535,                0.99666,                      1,                  0.995,                0.81135,                0.77599,                0.49002,                0.97126,              0.0005843,              0.0005843,              0.0005843
                    146,                0.58508,                0.52601,                0.86267,                0.99635,                      1,                  0.995,                0.79643,                0.78651,                0.50268,                0.97673,              0.0005744,              0.0005744,              0.0005744
